titulo;tipo_paper;doi
Geographies Of Doing Nothing–Internal Displacement And Practices Of Post-Disaster Recovery In Urban Areas Of The Kathmandu Valley, Nepal;Journalarticle;10.3390/socsci10030110
A System Disconnected: Perspectives On Post-Disaster Housing Recovery Policy And Programs;Journalarticle;10.1007/s11069-020-04463-1
Leaving Problematic Assets Behind: Lessons From Post-Tsunami Reconstruction In Aceh;Journalarticle;10.1088/1755-1315/682/1/012007
Support From Inland Local Governments For The Reconstruction From Tsunami Disaster: Case Of Morioka City, Iwate Pref.;Journalarticle;10.3130/AIJT.27.493
An Inquiry Into Success Factors For Post-Disaster Housing Reconstruction Projects: A Case Of Kerala, South India;Journalarticle;10.1007/s13753-020-00309-3
Institutional Coordination Of Disaster Management: Engaging National And Local Governments In Japan;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000423
What Makes A Successful Livelihood Recovery? A Study Of China’S Lushan Earthquake;Journalarticle;10.1007/s11069-020-04412-y
Analysis Of The Capacity Of The Rehabilitation And Reconstruction Policy Due To The Mount Sinabung Eruption Disaster In Indonesia;Journalarticle;10.48047/rigeo.11.05.377
Integrating Green Solutions Into Post-Earthquake Recovery Of Bam, Iran;Journalarticle;
Trends And Relationships In Victims’ Recovery Perceptions: A Case Study Of The Recovery Process Following The Great East Japan Earthquake;Booksection;10.1007/s11069-021-04979-0
Assessing Post-Disaster Recovery Using Sentiment Analysis: The Case Of L’Aquila, Italy;Booksection;10.1177/87552930211036486
Dynamic Economic Resilience Scenarios For Measuring Long-Term Community Housing Recovery;Booksection;10.1080/17477891.2021.1962784
Post-Disaster Sheltering Process After The 2019 Floods, In Golestan Province, Iran;Journalarticle;10.1108/IJDRBE-03-2021-0023
Prolific, But Undemanding. The State And The Post-Disaster Reconstruction Of A Small Regional Capital: The Case Of L’Aquila, Italy;Journalarticle;10.1080/04353684.2021.1944816
Efforts To Grasp Progresses Of Recovery And Reconstruction Following The Great East Japan Earthquake On Broader-Areas And Local-Areas;Journalarticle;10.5026/jgeography.130.289
Corrupción Pasiva En La Reconstrucción De La Ciudad De México;Journalarticle;10.22201/iis.01882503p.2021.2.60090
Social Capital, Trust, And Collective Action In Post-Earthquake Nepal;Journalarticle;10.1007/s11069-020-04363-4
Women’S Capabilities In Disaster Recovery And Resilience Must Be Acknowledged, Utilized And Supported;Journalarticle;10.1080/09589236.2020.1801397
A Bayesian Modeling Approach For Estimating Earthquake Reconstruction Behavior;Conferencepaper;10.1080/24694452.2020.1756207
Alternative Narrations And Imaginations Of Disaster Recovery: A Case Study Of Relocatees After The Christchurch, New Zealand, Earthquakes;Journalarticle;10.1080/14649365.2019.1574883
;Journalarticle;10.1561/101.00000122
;Journalarticle;10.1016/j.pdisas.2020.100126
;Journalarticle;10.1016/j.ijdrr.2020.101879
;Journalarticle;10.1016/j.soildyn.2020.106327
;Conferencepaper;10.1007/s40609-020-00181-5
;Journalarticle;10.1108/DPM-01-2020-0005
;Booksection;10.1108/DPM-09-2019-0311
;Journalarticle;10.1108/DPM-09-2019-0310
;Conferencepaper;10.1108/DPM-11-2019-0336
;Journalarticle;10.1016/j.ijdrr.2020.101673
;Journalarticle;10.1016/j.ijdrr.2020.101902
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000399
;Journalarticle;10.1016/j.worlddev.2020.105041
;Journalarticle;10.1016/j.ijdrr.2020.101710
;Journalarticle;10.1061/(ASCE)NH.1527-6996.0000393
;Journalarticle;10.1051/e3sconf/202020003004
;Journalarticle;10.3390/su12208585
;Journalarticle;10.1007/s11069-020-04341-w
;Journalarticle;10.1097/CNJ.0000000000000750
;Journalarticle;10.1007/s11069-020-04241-z
;Journalarticle;10.1016/j.jrurstud.2020.08.008
;Booksection;10.1007/s11069-020-04194-3
;Journalarticle;10.1007/s11069-020-04130-5
;Journalarticle;10.1007/s11069-019-03597-1
;Journalarticle;10.1007/s11069-019-03598-0
;Journalarticle;10.1088/1757-899X/933/1/012041
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2020.101609
;Journalarticle;10.1080/17477891.2019.1667290
;Journalarticle;10.1080/14650045.2018.1533818
;Journalarticle;10.3390/SU12156229
;Journalarticle;10.1257/mac.20180190
;Journalarticle;10.1016/j.geoforum.2020.05.003
;Journalarticle;10.1111/disa.12411
;Book;10.3390/su12124979
;Conferencepaper;10.3390/su12114668
;Journalarticle;10.1007/s13753-020-00277-8
;Journalarticle;10.1016/j.istruc.2020.03.042
;Journalarticle;10.3390/su12093837
;Journalarticle;10.1016/j.ijdrr.2019.101467
;Journalarticle;10.1016/j.ssci.2020.104623
;Journalarticle;10.1016/j.ijdrr.2019.101443
;Journalarticle;10.1080/00130095.2020.1722635
;Journalarticle;10.1051/e3sconf/202015605017
;Journalarticle;10.1051/e3sconf/202015601012
;Journalarticle;10.1016/j.jhtm.2019.11.011
;Journalarticle;10.1016/j.ijdrr.2019.101373
;Journalarticle;10.1017/dmp.2019.97
;Journalarticle;10.1177/0042098019859232
;Journalarticle;10.1111/mice.12487
;Booksection;10.5593/sgem2020/6.1/s27.061
;Journalarticle;10.1108/DPM-08-2020-0275
;Booksection;10.1061/9780784482872.047
;Journalarticle;10.2478/aup-2020-0001
;Journalarticle;10.1108/IJDRBE-05-2020-0044
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1504/IJRAM.2020.106972
;Journalarticle;10.4067/S0718-83582020000100155
;Conferencepaper;10.1080/19460171.2020.1724549
;Journalarticle;
;Journalarticle;10.1016/j.ijdrr.2019.101356
;Book;10.1016/j.pdisas.2019.100041
;Conferencepaper;10.1016/j.worlddev.2019.104663
;Booksection;
;Journalarticle;10.1088/1757-899X/620/1/012071
;Journalarticle;10.1088/1757-899X/674/1/012043
;Journalarticle;10.11821/dlxb201910009
;Conferencepaper;10.1108/IJDRBE-05-2019-0025
;Conferencepaper;10.1108/IJDRBE-06-2019-0035
;Journalarticle;10.1590/15174522-101815
;Journalarticle;10.1016/j.ijdrr.2019.101199
;Journalarticle;10.1016/j.ijdrr.2019.101118
;Journalarticle;10.1108/DPM-04-2019-0103
;Journalarticle;10.1088/1755-1315/314/1/012065
;Journalarticle;10.3390/ijerph16162836
;Journalarticle;10.1016/j.emospa.2019.100592
;Journalarticle;10.1016/j.ijdrr.2019.101158
;Journalarticle;10.1108/DPM-12-2017-0322
;Journalarticle;10.1088/1755-1315/271/1/012001
;Journalarticle;10.1088/1755-1315/273/1/012061
;Journalarticle;10.1088/1755-1315/273/1/012055
;Journalarticle;10.1080/07900627.2018.1467312
;Conferencepaper;10.1108/IJCHM-06-2018-0513
;Journalarticle;10.1061/(ASCE)IS.1943-555X.0000471
;Journalarticle;10.3390/infrastructures4020030
;Journalarticle;10.1080/03003930.2018.1563541
;Journalarticle;10.1016/j.pdisas.2019.100003
;Book;10.1016/j.econmod.2018.09.011
;Journalarticle;10.1080/09584935.2018.1559278
;Journalarticle;10.1016/j.ijdrr.2018.12.023
;Journalarticle;10.1111/disa.12318
